GS,SG,slug,PS,FS,V,atleta_id,jogos,PP,FC,DE,G,media,pontos,I,FT,CV,posicao_id,variacao,A,FD,nome,DP,PC,clube_id,DS,FF,CA,clube_nome,preco,apelido,season,rodada,target,media_5,std_5,G_media_5,A_media_5,SG_media_5,DS_media_5,FF_media_5,FS_media_5,pred
,,jadson,,50.0,,80129,32,,42.0,,,3.01,1.7,2.0,,,4,-0.22,2.0,4.0,Jadson Alves dos Santos,,1.0,286,47.0,9.0,8.0,JUV,5.59,Jadson,2025,38,1.7,2.1999999999999993,1.4983324063771726,,2.0,,45.2,7.8,48.2,2.4466666666666685
,,yago-pikachu,1.0,18.0,,80196,28,,13.0,,2.0,1.97,3.1,4.0,1.0,,4,0.45,1.0,6.0,Glaybson Yago Souza Lisboa,,,356,11.0,5.0,2.0,FOR,5.14,Yago Pikachu,2025,38,3.1,0.5,1.476482306023344,2.0,1.0,,9.4,5.0,17.2,0.21300000000000024
,,luciano,2.0,42.0,,80287,31,1.0,32.0,,9.0,5.57,0.0,6.0,,,5,-1.59,4.0,18.0,Luciano da Rocha Neves,,,276,23.0,32.0,10.0,SAO,9.0,Luciano,2025,38,0.0,3.38,4.736243236997021,8.4,4.0,,22.4,30.0,41.2,2.793333333333334
,7.0,gilberto,,12.0,,80313,21,,15.0,,1.0,4.41,0.0,1.0,,,2,0.0,,3.0,Gilberto Moraes Júnior,,,265,30.0,6.0,5.0,BAH,8.6,Gilberto,2025,38,0.0,2.04,4.450617934624359,1.0,,7.0,28.0,5.6,11.6,1.5883333333333332
,6.0,wendell,,16.0,,80570,15,,12.0,,,4.99,0.0,,,,2,0.0,1.0,,Wendell Nascimento Borges,,,276,22.0,3.0,,SAO,9.67,Wendell,2025,38,0.0,0.0,0.0,,1.0,6.0,22.0,3.0,16.0,0.0
,,lucas-lima,,46.0,,80583,30,,30.0,,4.0,3.69,4.9,10.0,1.0,,4,0.38,4.0,9.0,Lucas Rafael Araújo Lima,,,292,27.0,3.0,11.0,SPT,6.5,Lucas Lima,2025,38,4.9,2.3600000000000003,1.7868967513541483,4.0,4.0,,22.8,3.0,43.6,2.7459000000000002
,,jair,,11.0,,81091,10,,12.0,,,2.07,0.0,,,,4,0.0,,,Jair Rodrigues Júnior,,,267,14.0,1.0,3.0,VAS,4.63,Jair,2025,38,0.0,0.0,0.0,,,,14.0,1.0,11.0,0.0
,,lucas-mugni,,17.0,,81121,30,,32.0,,2.0,3.31,2.7,3.0,1.0,,4,0.27,4.0,5.0,Lucas Andrés Mugni,,,354,36.0,8.0,5.0,CEA,6.28,Lucas Mugni,2025,38,2.7,3.3600000000000003,3.5104130811059844,2.0,3.6,,33.6,7.8,14.8,2.5893333333333346
,4.0,mayke,,8.0,,81150,15,,22.0,,,4.12,0.0,1.0,,,2,0.0,,1.0,Mayke Rocha de Oliveira,,,277,30.0,3.0,4.0,SAN,8.29,Mayke,2025,38,0.0,2.32,3.348432469081609,,,3.4,28.2,3.0,8.0,5.099333333333337
,,goncalo-paciencia,,3.0,,81401,6,,3.0,,,1.42,2.5,,,,5,-0.22,,2.0,Gonçalo Mendes Paciência,,,292,1.0,5.0,,SPT,5.37,Gonçalo Paciência,2025,38,2.5,1.24,1.7501428513124293,,,,1.0,3.6,1.6,1.5296666666666665
,,alisson,,32.0,,81845,30,,19.0,,,1.59,1.5,2.0,,,4,0.03,1.0,6.0,Alisson Euler de Freitas Castro,,,276,19.0,4.0,6.0,SAO,4.15,Alisson,2025,38,1.5,0.31999999999999995,0.9418067742376837,,1.0,,18.2,4.0,30.8,0.7720000000000001
18.0,6.0,joao-ricardo,,2.0,,81881,13,,,51.0,,5.87,0.0,,,,1,0.0,,,João Ricardo Riedi,,,356,,,,FOR,11.84,João Ricardo,2025,38,0.0,0.0,0.0,,,6.0,,,2.0,0.0
,,willian-oliveira,,14.0,,81952,18,,33.0,,1.0,2.56,1.8,,,,4,0.26,,3.0,Willian Osmar de Oliveira Silva,,,287,25.0,9.0,7.0,VIT,4.48,Willian Oliveira,2025,38,1.8,0.22000000000000036,0.9338094023943266,1.0,,,24.6,8.2,13.2,0.3696666666666669
,,chico-kim,1.0,12.0,,82407,12,,7.0,,,1.48,0.0,,,,4,0.0,,1.0,Francisco Hyun-Sol Kim,,,2305,8.0,1.0,1.0,MIR,4.08,Chico Kim,2025,38,0.0,0.039999999999999994,0.08944271909998773,,,,8.0,1.0,11.8,0.01266666666666667
,,ze-rafael,1.0,49.0,,82455,26,,37.0,,1.0,4.3,0.0,1.0,2.0,,4,0.0,,2.0,José Rafael Vivian,,,277,50.0,14.0,5.0,SAN,6.95,Zé Rafael,2025,38,0.0,1.1600000000000008,2.396455716260992,1.0,,,49.6,13.6,48.6,1.2626666666666655
,,otavio,,8.0,,82463,6,,5.0,,,1.3,0.0,,,,4,0.0,,,Otávio Henrique Passos Santos,,,266,3.0,1.0,,FLU,4.6,Otávio,2025,38,0.0,0.0,0.0,,,,3.0,1.0,8.0,0.0
,,luiz-araujo,,24.0,,82627,33,,34.0,,6.0,4.22,0.0,1.0,2.0,,5,0.0,2.0,10.0,Luiz de Araújo Guimarães Neto,,,262,34.0,16.0,2.0,FLA,7.98,Luiz Araújo,2025,38,0.0,0.5800000000000007,0.8136338242722931,6.0,2.0,,33.8,15.8,24.0,0.7026666666666667
,3.0,tinga,,4.0,,82628,11,,6.0,,1.0,3.87,0.0,,,,2,0.0,,,Guilherme de Jesus da Silva,,,356,12.0,3.0,1.0,FOR,7.83,Tinga,2025,38,0.0,0.0,0.0,1.0,,3.0,12.0,3.0,4.0,0.0
,4.0,marcelo-hermes,,12.0,,82639,20,,20.0,,2.0,5.42,7.2,1.0,,,2,0.36,5.0,7.0,Marcelo Gazella Hermes,,,286,22.0,10.0,2.0,JUV,8.36,Marcelo Hermes,2025,38,7.2,5.44,3.657594838141589,2.0,3.8,4.0,19.6,8.6,11.2,5.662133333333335
,8.0,lucas-ramon,1.0,44.0,,82775,29,,29.0,,2.0,5.91,0.0,4.0,,,2,0.0,3.0,9.0,Lucas Ramon Batista Silva,,,2305,51.0,9.0,8.0,MIR,10.04,Lucas Ramon,2025,38,0.0,5.1,3.6428011200173978,2.0,3.0,7.2,48.6,8.2,41.8,5.011316666666662
,3.0,rafael-thyere,,8.0,,83048,21,,11.0,,,2.22,3.0,,1.0,,3,-0.02,,1.0,Rafael Thyere de Albuquerque Marques,,,292,17.0,4.0,2.0,SPT,5.29,Rafael Thyere,2025,38,3.0,1.6,1.5165750888103107,,,3.0,14.2,3.6,7.6,1.2603333333333322
,2.0,alan-benitez,,,,83251,10,,5.0,,,1.96,0.0,,,,2,0.0,,3.0,Alan Max Benítez Domínguez,,,285,5.0,,,INT,4.9,Alan Benítez,2025,38,0.0,0.0,0.0,,,2.0,5.0,,,0.0
,,gabriel,,14.0,,83257,30,1.0,9.0,,6.0,3.02,0.4,13.0,1.0,,5,-0.45,2.0,13.0,Gabriel Barbosa Almeida,,,283,5.0,18.0,7.0,CRU,6.23,Gabriel,2025,38,0.4,1.5200000000000007,1.9382982226685306,6.0,2.0,,5.0,16.4,12.0,1.3263333333333331
,17.0,leo-pereira,,13.0,,83528,32,,22.0,,4.0,4.84,0.0,,1.0,,3,0.0,,3.0,Leonardo Pereira,,2.0,262,21.0,9.0,5.0,FLA,9.46,Léo Pereira,2025,38,0.0,2.8599999999999994,3.70445677529108,4.0,,16.2,20.2,8.8,13.0,4.026333333333334
,4.0,neris,,4.0,,83786,10,,14.0,,,2.45,7.9,2.0,,1.0,3,0.49,,2.0,Hueglo dos Santos Neris,,,287,4.0,3.0,1.0,VIT,4.47,Neris,2025,38,7.9,1.58,3.532987404449667,,,3.2,2.4,2.2,4.0,2.916000000000001
,,tiquinho-soares,1.0,37.0,,84042,27,,29.0,,2.0,2.56,0.0,5.0,,,5,-0.33,3.0,7.0,Francisco das Chagas Soares dos Santos Meireles,,,277,8.0,13.0,3.0,SAN,6.81,Tiquinho Soares,2025,38,0.0,0.3,0.6708203932499632,2.0,3.0,,8.0,12.6,36.2,0.3446666666666667
6.0,1.0,ruan-carneiro,,,,84094,4,,,11.0,,3.32,0.0,,,,1,0.0,,,Eudes Ruan de Souza Carneiro,,,286,,,,JUV,3.46,Ruan Carneiro,2025,38,0.0,0.38,0.8497058314499201,,,1.0,,,,0.601865476190476
,1.0,jemerson,,3.0,,84263,9,,14.0,,1.0,3.2,0.0,,1.0,,3,0.0,,1.0,Jemerson de Jesus Nascimento,,,284,11.0,1.0,3.0,GRE,4.77,Jemerson,2025,38,0.0,0.0,0.0,1.0,,1.0,11.0,1.0,3.0,0.0
,,fernando-sobral,,17.0,,84428,28,,33.0,,1.0,1.64,3.2,1.0,,,4,-0.04,,1.0,Fernando Pereira do Nascimento,,,354,27.0,7.0,8.0,CEA,4.19,Fernando Sobral,2025,38,3.2,1.4399999999999997,1.7586926962945988,1.0,,,25.0,5.8,14.8,1.0263333333333322
,,romarinho,,26.0,,84523,24,,2.0,,2.0,2.12,2.5,2.0,,,5,0.11,1.0,2.0,José Romário Silva de Souza,,,292,7.0,6.0,,SPT,3.81,Romarinho,2025,38,2.5,1.2200000000000002,0.9833615815151604,2.0,1.0,,5.6,5.6,24.0,1.0629999999999993
,,lucas-romero,,48.0,,84558,33,,37.0,,1.0,4.26,0.0,1.0,,,4,0.0,3.0,3.0,Lucas Daniel Romero,,,283,70.0,11.0,12.0,CRU,7.86,Lucas Romero,2025,38,0.0,2.34,2.534363825499409,1.0,3.0,,67.8,11.0,47.4,2.988000000000005
,,lucas-evangelista,,20.0,,84674,19,,20.0,,2.0,3.36,0.0,,,,4,0.0,1.0,4.0,Lucas Evangelista Santana de Oliveira,,,275,23.0,2.0,2.0,PAL,6.28,Lucas Evangelista,2025,38,0.0,0.0,0.0,2.0,1.0,,23.0,2.0,20.0,0.0
,,jorginho,,10.0,,84735,17,,21.0,,3.0,3.61,0.0,,,,4,0.0,1.0,2.0,Jorge Luiz Frello Filho,,,262,22.0,4.0,5.0,FLA,7.91,Jorginho,2025,38,0.0,6.1,6.60870637870983,2.8,1.0,,20.6,2.8,9.6,6.334266666666666
,12.0,varela,,12.0,,84816,20,,8.0,,,5.12,0.0,2.0,,,2,0.0,4.0,2.0,Guillermo Varela Olivera,,1.0,262,12.0,1.0,1.0,FLA,8.87,Varela,2025,38,0.0,2.7600000000000007,3.925302536111072,,4.0,11.2,10.8,1.0,10.6,4.831233333333338
,6.0,luan-peres,,13.0,,84847,24,,28.0,,,2.97,0.0,1.0,,,3,0.0,,1.0,Luan Peres Petroni,,,277,31.0,2.0,6.0,SAN,5.64,Luan Peres,2025,38,0.0,2.2,3.033150177620621,,,5.4,30.2,2.0,13.0,1.6903333333333324
,,oscar-romero,,18.0,,85034,17,,8.0,,,1.54,0.0,,,,4,0.0,1.0,1.0,Óscar David Romero Villamayor,,1.0,285,9.0,5.0,3.0,INT,4.25,Óscar Romero,2025,38,0.0,0.0,0.0,,1.0,,9.0,5.0,18.0,0.0
,,memphis-depay,,31.0,,85048,23,1.0,20.0,,6.0,4.98,0.5,2.0,3.0,,5,-1.42,3.0,13.0,Memphis Depay,,,264,8.0,17.0,4.0,COR,12.26,Memphis Depay,2025,38,0.5,1.8000000000000007,3.751666296460818,6.0,3.0,,8.0,16.2,31.0,1.2696666666666667
6.0,,vinicius-silvestre,,1.0,,85083,2,,,11.0,,4.4,0.0,,,,1,0.0,,,Vinicius Silvestre da Costa,,,356,,,,FOR,6.75,Vinicius Silvestre,2025,38,0.0,0.0,0.0,,,,,,1.0,0.0
,,danielzinho,1.0,68.0,,85403,34,,33.0,,,2.92,0.0,2.0,1.0,,4,0.0,2.0,4.0,Daniel de Oliveira Sertanejo,,,2305,34.0,12.0,4.0,MIR,5.18,Danielzinho,2025,38,0.0,1.7399999999999998,1.3277801022759734,,2.0,,33.0,12.0,65.4,1.677566666666665
,,joao-paulo,,,,85425,0,,,,,-1.0,0.0,,,,1,0.0,,,João Paulo Silva Martins,,,265,,,2.0,BAH,6.45,João Paulo,2025,38,0.0,0.0,0.0,,,,,,,0.0
,,alex-santana,,11.0,,85465,10,,12.0,,,0.15,0.0,1.0,,,4,0.0,,,Alex Paulo Menezes Santana,,,284,1.0,4.0,5.0,GRE,2.62,Alex Santana,2025,38,0.0,0.0,0.0,,,,1.0,4.0,11.0,0.0
,,ricardo-ryller,,8.0,,85856,18,,28.0,,,1.18,0.0,1.0,,,4,0.0,,4.0,Ricardo Ryller Ribeiro Lino Silva,,,287,15.0,2.0,3.0,VIT,2.59,Ricardo Ryller,2025,38,0.0,0.1,0.22360679774996065,,,,15.0,2.0,7.8,0.050333333333333334
,,aylon,1.0,21.0,,85930,21,,22.0,,2.0,2.36,1.5,2.0,1.0,,5,0.12,,4.0,Aylon Darwin Tavella,,,354,12.0,9.0,4.0,CEA,4.27,Aylon,2025,38,1.5,0.6599999999999999,0.9099450532861922,2.0,,,12.0,7.8,19.2,0.5410000000000003
,,hyoran,,7.0,,85931,10,,15.0,,,1.65,0.0,1.0,1.0,,4,0.0,1.0,2.0,Hyoran Kaue Dalmoro,,,292,4.0,4.0,2.0,SPT,3.47,Hyoran,2025,38,0.0,0.26,0.5813776741499577,,1.0,,4.0,3.6,6.6,0.06933333333333333
,,bolasie,,4.0,,86292,18,,11.0,,,0.51,-0.1,2.0,,,5,-0.08,1.0,1.0,Yannick Bolasie,,,283,3.0,1.0,1.0,CRU,2.78,Bolasie,2025,38,-0.1,0.02000000000000071,0.10954451150102126,,1.0,,3.0,1.0,3.6,0.0069999999999999975
,1.0,victor-luis,,5.0,,86410,6,,2.0,,,1.1,-1.0,,,,2,-0.57,,1.0,Victor Luis Chuab Zamblauskas,,,267,1.0,,,VAS,2.9,Victor Luis,2025,38,-1.0,-0.019999999999999997,0.6723094525588698,,,1.0,1.0,,4.2,-0.1746111111111112
,,keno,,19.0,,86485,16,,6.0,,1.0,2.62,0.0,,,,5,0.0,2.0,2.0,Marcos da Silva França,,,266,5.0,9.0,1.0,FLU,5.69,Keno,2025,38,0.0,0.23999999999999963,0.5366563145999731,1.0,2.0,,4.4,9.0,19.0,0.7748666666666643
27.0,2.0,jandrei,,2.0,,86508,16,,,41.0,,2.14,1.6,,,,1,0.03,,,Jandrei Chitolina Carniel,,,286,,,3.0,JUV,4.39,Jandrei,2025,38,1.6,1.5800000000000003,1.1777096416349795,,,2.0,,,2.0,1.3402833333333322
,,richardson,,8.0,,86536,15,,11.0,,,0.86,0.0,,,,4,0.0,,2.0,Richardson Fernandes dos Santos,,,354,8.0,1.0,3.0,CEA,2.26,Richardson,2025,38,0.0,0.0,0.0,,,,8.0,1.0,8.0,0.0
,,tche-tche,,40.0,,86686,28,,25.0,,1.0,1.56,1.5,1.0,,,4,0.06,,3.0,Danilo das Neves Pinheiro,,,267,12.0,6.0,3.0,VAS,3.67,Tchê Tchê,2025,38,1.5,0.14000000000000012,1.0188228501559986,1.0,,,11.2,5.4,40.0,0.006777777777777759
,,richard,,5.0,,86711,7,,5.0,,,1.54,0.0,,1.0,,4,-0.37,,,Richard Cândido Coelho,,,285,4.0,1.0,,INT,3.4,Richard,2025,38,0.0,0.3,0.6708203932499373,,,,3.4,1.0,5.0,0.1443333333333333
,,everton,,6.0,,86757,21,,12.0,,1.0,2.27,0.0,2.0,1.0,,5,0.0,1.0,6.0,Everton Sousa Soares,,,262,10.0,13.0,,FLA,6.95,Everton,2025,38,0.0,1.98,1.8899735447883927,1.0,1.0,,9.2,12.4,5.0,2.555999999999993
,,matheus-rossetto,,4.0,,86766,17,,5.0,,,0.5,0.0,1.0,,,4,-0.08,,,Matheus Rossetto,,,356,6.0,,1.0,FOR,2.64,Matheus Rossetto,2025,38,0.0,0.019999999999999823,0.04472135954998974,,,,6.0,,3.4,0.008333333333333337
,3.0,reginaldo,,11.0,,86820,16,,6.0,,,2.94,0.0,1.0,,,2,0.0,2.0,1.0,Reginaldo Lopes de Jesus,,,286,11.0,2.0,1.0,JUV,4.27,Reginaldo,2025,38,0.0,0.1,0.22360679774997888,,2.0,3.0,11.0,2.0,10.6,0.12466666666666669
,,jose-welison,,5.0,,86859,9,,7.0,,,1.89,0.0,,,,4,0.0,,,José Welison da Silva,,,356,12.0,2.0,3.0,FOR,3.82,José Welison,2025,38,0.0,0.0,0.0,,,,12.0,2.0,5.0,0.0
,1.0,luiz-otavio,,,,86863,4,,2.0,,,1.23,0.0,,,,3,0.0,,,Luiz Otávio da Silva Santos,,,2305,1.0,,1.0,MIR,3.6,Luiz Otávio,2025,38,0.0,0.9800000000000001,2.2476654555338076,,,1.0,1.0,,,3.9644416666666675
46.0,7.0,leo-jardim,,9.0,,87008,33,,,104.0,,3.8,0.0,,,1.0,1,0.0,,,Leonardo César Jardim,,,267,,,,VAS,7.08,Léo Jardim,2025,38,0.0,3.1600000000000006,2.779028607265494,,,7.0,,,8.2,1.9794333333333372
,7.0,pedro-henrique,,20.0,,87225,31,,23.0,,1.0,3.18,0.0,,1.0,,3,0.0,1.0,2.0,Pedro Henrique Ribeiro Gonçalves,,,280,28.0,8.0,6.0,RBB,6.8,Pedro Henrique,2025,38,0.0,-0.06000000000000035,0.1341640786501252,1.0,1.0,7.0,28.0,8.0,20.0,-0.0657095238095239
,6.0,guilherme-arana,,10.0,,87228,19,,15.0,,,3.86,7.9,2.0,1.0,,2,0.84,1.0,5.0,Guilherme Antonio Arana Lopes,,,282,18.0,9.0,5.0,CAM,9.11,Guilherme Arana,2025,38,7.9,1.58,3.532987404449669,,1.0,5.2,16.4,9.0,10.0,3.902166666666667
,,soteldo,,22.0,,87258,21,,4.0,,2.0,2.36,6.8,1.0,,,5,-1.9,2.0,1.0,Yeferson Julio Soteldo Martínez,,,266,7.0,4.0,1.0,FLU,7.44,Soteldo,2025,38,6.8,6.959999999999999,9.158766292465376,2.0,1.3333333333333333,,5.2,3.2,17.8,6.390333333333344
,3.0,kannemann,1.0,9.0,,87342,17,,20.0,,,2.06,0.0,,1.0,1.0,3,0.0,,,Walter Kannemann,,,284,18.0,2.0,8.0,GRE,4.43,Kannemann,2025,38,0.0,0.0,0.0,,,3.0,18.0,2.0,9.0,0.0
,,thaciano,,9.0,,87470,19,,5.0,,3.0,2.76,24.5,9.0,1.0,,4,3.71,,2.0,Thaciano Mickael da Silva,,,277,12.0,6.0,2.0,SAN,8.11,Thaciano,2025,38,24.5,5.02,10.892749882375893,1.4,,,10.2,5.0,6.6,9.545333333333323
,,neto-moura,,23.0,,87742,31,,34.0,,1.0,3.33,0.0,,,,4,0.0,,,Antônio Francisco Moura Neto,,1.0,2305,66.0,6.0,9.0,MIR,4.62,Neto Moura,2025,38,0.0,-0.28,0.5718391382198376,1.0,,,65.4,6.0,23.0,-0.2708214285714284
,,yago-felipe,,24.0,,87747,18,,14.0,,,1.78,0.0,,,,4,0.0,1.0,1.0,Yago Felipe da Costa Rocha,,,2305,12.0,4.0,3.0,MIR,4.12,Yago Felipe,2025,38,0.0,0.3399999999999998,0.7602631123499252,,1.0,,11.4,4.0,23.4,1.094999999999996
,,philipe-sampaio,,,,87808,0,,,,,0.0,0.0,,,,3,0.0,,,Philipe Sampaio Azevedo,,,263,,,,BOT,3.0,Philipe Sampaio,2025,38,0.0,0.0,0.0,,,,,,,0.0
,1.0,mauricio-lemos,,,,87853,4,,1.0,,,1.93,0.0,,,,3,0.0,,,Paolo Mauricio Lemos Merladett,,,267,2.0,,,VAS,5.2,Mauricio Lemos,2025,38,0.0,0.0,0.0,,,1.0,2.0,,,0.0
,,arrascaeta,3.0,50.0,,87863,32,1.0,13.0,,18.0,9.32,0.0,2.0,3.0,,4,0.0,14.0,7.0,Giorgian Daniel de Arrascaeta Benedetti,,,262,19.0,27.0,3.0,FLA,17.77,Arrascaeta,2025,38,0.0,4.76,8.44766239855737,17.8,13.8,,18.0,25.6,49.4,10.83633333333332
,1.0,balbuena,,3.0,,87887,3,,,,1.0,6.33,0.0,,,,3,0.0,,,Fabián Cornelio Balbuena González,,,284,3.0,,,GRE,8.94,Balbuena,2025,38,0.0,0.0,0.0,1.0,,1.0,3.0,,3.0,0.0
,,gustavo-scarpa,,37.0,,87999,30,,17.0,,2.0,3.31,-0.6,3.0,2.0,,4,-1.16,3.0,11.0,Gustavo Henrique Furtado Scarpa,,,282,15.0,20.0,3.0,CAM,8.68,Gustavo Scarpa,2025,38,-0.6,-0.1200000000000007,0.2683281572999477,2.0,3.0,,15.0,20.0,37.0,-0.20158333333333334
,3.0,ramon-menezes,,10.0,,88087,21,,15.0,,1.0,2.8,0.0,,,,3,0.0,,3.0,Ramon Menezes Roma,,,292,21.0,4.0,3.0,SPT,5.88,Ramon Menezes,2025,38,0.0,0.7799999999999999,2.290633100258528,1.0,,3.0,19.8,4.0,9.0,0.7096666666666669
4.0,2.0,ivan,,1.0,,88136,6,,,15.0,,4.0,0.0,,,,1,0.0,,,Ivan Quaresma da Silva,,,285,,,2.0,INT,6.78,Ivan,2025,38,0.0,0.0,0.0,,,2.0,,,1.0,0.0
,12.0,junior-alonso,,11.0,,88312,28,,21.0,,1.0,4.12,15.3,,,2.0,3,2.11,1.0,3.0,Júnior Osmar Ignacio Alonso Mujica,,,282,31.0,8.0,4.0,CAM,8.04,Junior Alonso,2025,38,15.3,3.06,6.842368011149356,1.0,1.0,11.2,30.2,7.2,11.0,8.910666666666671
,,angel-romero,,25.0,,88323,27,,13.0,,,1.82,3.3,7.0,1.0,1.0,5,0.29,1.0,5.0,Ángel Rodrigo Romero Villamayor,,,264,17.0,11.0,4.0,COR,5.38,Ángel Romero,2025,38,3.3,0.7800000000000004,1.4788509052639462,,1.0,,16.2,10.2,23.4,1.0893333333333322
,7.0,ayrton-lucas,,17.0,,88393,16,,20.0,,1.0,4.47,0.0,,,,2,0.0,,2.0,Ayrton Lucas Dantas de Medeiros,,1.0,262,18.0,3.0,5.0,FLA,8.71,Ayrton Lucas,2025,38,0.0,0.040000000000000716,0.08944271910001592,1.0,,7.0,18.0,3.0,17.0,-0.009999999999999992
,2.0,aderlan,,11.0,,88423,13,,15.0,,,2.54,0.0,2.0,,,2,0.0,,,Aderlan de Lima Silva,,1.0,292,17.0,2.0,4.0,SPT,5.05,Aderlan,2025,38,0.0,0.07999999999999963,1.066302021005312,,,2.0,16.4,2.0,10.4,1.3352222222222172
,,walace,,3.0,,88479,17,,10.0,,,0.52,4.0,,,,4,0.58,,,Walace Souza Silva,,,283,9.0,1.0,4.0,CRU,2.8,Walace,2025,38,4.0,0.64,1.9099738218101314,,,,7.4,1.0,1.4,0.6652428571428567
,,lucas-crispim,,10.0,,88597,7,,5.0,,1.0,2.51,0.5,1.0,,,4,-0.73,,2.0,Lucas de Figueiredo Crispim,,,356,2.0,1.0,,FOR,4.79,Lucas Crispim,2025,38,0.5,0.1,0.2236067977499909,1.0,,,2.0,1.0,9.2,0.245609126984127
,,leonardo-jardim,,,19.0,88963,38,,,,,6.32,2.53,,,,6,-0.46,,,José Leonardo Nunes Alves Sousa Jardim,,,283,,,,CRU,10.3,Leonardo Jardim,2025,38,2.53,5.069999999999999,2.7939935576160515,,,,,,,4.251499999999997
,,hector-hernandez,,3.0,,89048,9,,4.0,,1.0,2.18,0.0,2.0,,,5,0.0,,2.0,Héctor José Hernández Marrero,,,264,5.0,2.0,,COR,4.39,Héctor Hernández,2025,38,0.0,0.0,0.0,1.0,,,5.0,2.0,3.0,0.0
,1.0,joao-pedro,,1.0,,89273,7,,6.0,,,3.03,0.0,1.0,,,2,0.0,,3.0,João Pedro Maturano dos Santos,,1.0,284,10.0,,,GRE,6.18,João Pedro,2025,38,0.0,0.0,0.0,,,1.0,10.0,,1.0,0.0
,,andreas-pereira,,8.0,,89274,11,,12.0,,2.0,2.95,0.0,,,,4,0.0,,5.0,Andreas Hugo Hoelgebaum Pereira,,,275,5.0,7.0,3.0,PAL,9.09,Andreas Pereira,2025,38,0.0,0.0,0.0,2.0,,,5.0,7.0,8.0,0.0
,16.0,william,,19.0,,89275,30,,41.0,,,7.39,0.0,4.0,,1.0,2,0.0,6.0,4.0,Willian de Asevedo Furtado,,,283,71.0,11.0,2.0,CRU,14.92,William,2025,38,0.0,5.980000000000001,4.523494224601152,,6.0,15.8,67.0,10.6,19.0,6.04386666666667
,,matheus-sales,,,,89285,0,,,,,0.0,0.0,,,,4,0.0,,,Matheus de Sales Cabral,,,2305,,,,MIR,4.0,Matheus Sales,2025,38,0.0,0.0,0.0,,,,,,,0.0
,,braithwaite,1.0,23.0,,89368,17,,23.0,,4.0,4.36,0.0,2.0,1.0,,5,0.0,1.0,8.0,Martin Christensen Braithwaite,,,284,9.0,11.0,3.0,GRE,11.69,Braithwaite,2025,38,0.0,0.0,0.0,4.0,1.0,,9.0,11.0,23.0,0.0
,5.0,igor-rabello,,,,89493,8,,9.0,,,3.54,0.0,,,1.0,3,0.0,,,Igor Rabello da Costa,,,266,6.0,,,FLU,6.08,Igor Rabello,2025,38,0.0,1.0,2.2360679774997867,,,4.8,6.0,,,0.5023333333333333
,,thiago-maia,,9.0,,89637,30,,25.0,,2.0,2.75,9.2,,,,4,1.09,1.0,,Thiago Maia Alencar,,,285,44.0,2.0,3.0,INT,5.94,Thiago Maia,2025,38,9.2,2.5999999999999996,3.8262252939417993,2.0,1.0,,38.2,2.0,7.6,2.633333333333333
,,lucho-acosta,,23.0,,89837,14,,21.0,,3.0,5.42,8.6,2.0,1.0,,4,0.57,2.0,5.0,Luciano Federico Acosta,,,266,18.0,6.0,4.0,FLU,9.83,Lucho Acosta,2025,38,8.6,4.9,3.3689761055846037,3.0,1.4,,14.0,3.6,20.2,5.139333333333337
,,calleri,,2.0,,89840,3,1.0,2.0,,,-0.77,0.0,,,1.0,5,0.0,,1.0,Jonathan Calleri,,,276,1.0,2.0,,SAO,5.78,Calleri,2025,38,0.0,0.0,0.0,,,,1.0,2.0,2.0,0.0
,,cristaldo,,31.0,,89846,28,,10.0,,1.0,2.81,15.1,1.0,,,4,1.57,3.0,9.0,Franco Cristaldo,,,284,18.0,8.0,1.0,GRE,7.77,Cristaldo,2025,38,15.1,5.2,6.091387362497973,1.0,2.2,,16.0,8.0,30.2,6.028066666666675
,,dodi,,35.0,,89883,29,,39.0,,,1.77,0.0,,,1.0,4,0.0,1.0,,Douglas Moreira Fagundes,,2.0,284,35.0,3.0,9.0,GRE,3.94,Dodi,2025,38,0.0,1.6,3.523492585489573,,1.0,,33.8,3.0,34.8,1.1309999999999985
,3.0,bruno-pacheco,,21.0,,90061,13,,11.0,,1.0,4.76,0.0,1.0,1.0,,2,0.0,1.0,,Bruno de Jesus Pacheco,,,356,18.0,1.0,4.0,FOR,8.16,Bruno Pacheco,2025,38,0.0,0.04,0.08944271909989927,1.0,1.0,3.0,18.0,1.0,21.0,0.010500000000000016
,,bruno-henrique,1.0,35.0,,90285,30,,44.0,,6.0,3.38,0.0,13.0,,,5,0.0,,13.0,Bruno Henrique Pinto,,,262,17.0,19.0,7.0,FLA,6.51,Bruno Henrique,2025,38,0.0,3.22,4.035715549936594,5.8,,,16.4,17.6,34.6,1.539333333333333
,,juninho,,4.0,,90307,14,,8.0,,,1.48,0.0,4.0,2.0,,5,0.0,,4.0,Olávio Vieira dos Santos Júnior,,,262,5.0,4.0,,FLA,4.11,Juninho,2025,38,0.0,0.14000000000000004,0.3130495168499687,,,,5.0,4.0,4.0,0.029500000000000005
,,david,,4.0,,90309,22,,13.0,,2.0,1.95,2.0,2.0,,1.0,5,-0.08,3.0,2.0,David Correa da Fonseca,,,267,9.0,4.0,2.0,VAS,5.14,David,2025,38,2.0,0.37999999999999995,1.7441330224498397,2.0,3.0,,7.4,3.4,3.2,-0.02000000000000001
